CLIENT ID,AVG CONSO,AVG BASKET SIZE,RECEIVED_COMMUNICATION
48352078,"8,33",100,0
18072186,"93,42","186,83",1
48352246,"45,83","137,5",0
18070621,"16,67",200,1
48352262,"13,33",160,0
48359553,"16,67",200,0
18071647,"8,33",100,1
48359574,"54,17","162,5",0
48359627,"26,67","106,67",0
18070505,"166,67","333,33",1
18071016,145,290,1
18071198,"230,83","230,83",1
18071233,"85,92","343,67",1
18071524,"7,5",45,1
18071668,"154,83","109,29",1
18072476,"33,33",400,1
48352272,25,150,0
18072741,"158,42","211,22",1
18072797,"110,83",133,1
