CLIENT ID,CLIENT_SEGMENT,AVG CONSO,AVG BASKET SIZE,RECEIVED_COMMUNICATION
24321771,6,"67,25","201,75",0
24321859,2,"58,33",350,0
24321880,3,"46,67",112,0
24321957,2,50,600,0
24321962,4,10,120,0
24322000,5,"9,17",110,0
24322006,3,"58,33",100,0
24322026,4,"29,17","87,5",0
24322170,1,"116,67",200,0
24322371,2,"83,33",200,0
24322621,4,"29,17","116,67",0
24322720,4,"25,83","38,75",0
24322786,3,"20,83",250,0
24322793,6,"51,67",124,0
24322934,1,"89,17","178,33",0
24322960,3,35,140,0
24323296,2,"45,83",550,0
24323352,2,"129,75",519,0
24323514,3,"34,58","103,75",0
24323556,1,"127,08","190,63",0
24323589,4,"20,83",250,0
24323612,4,"29,17","87,5",0
24323625,3,"33,33",100,0
24323639,3,"41,67",500,0
24323676,4,"20,83","83,33",0
24323694,4,"22,5",135,0
24323703,6,"30,83","92,5",0
24323743,3,"56,67",170,0
24323815,1,"116,67",200,0
24323820,2,"58,33",140,0
24323824,4,"16,67",200,0
24323940,4,"16,67",100,0
24324005,3,"36,42","218,5",0
24324026,3,"33,33",200,0
24324058,5,"8,33",100,0
24324225,1,"90,83","181,67",0
24324357,4,"18,33",55,0
24324417,4,"28,33","56,67",0
24324691,2,"83,33","333,33",0
24324745,4,"13,33","53,33",0
24324753,5,"4,17",50,0
24324762,2,"106,67","426,67",0
24324851,3,"33,33",200,0
24325013,4,"29,17","116,67",0
24325211,4,"16,67",200,0
24325305,3,"46,67",140,0
24325455,3,"41,67","166,67",0
24325507,1,"204,75",189,0
24325585,1,"74,58","127,86",0
24325745,4,"19,17",115,0
24325898,4,"24,17","48,33",0
24325929,1,"62,5",125,0
24325985,4,"50,83","101,67",0
24326035,4,"12,5",150,0
24326353,3,"33,33",200,0
24326395,3,"20,83",250,0
24326628,2,"100,58","402,33",0
24326663,4,"29,17","116,67",0
24326735,4,"14,17",85,0
24326808,3,"17,25",207,0
24326883,2,"58,33",175,0
24326895,1,"229,17","161,76",0
24327043,5,"4,17",50,0
24327167,1,"94,17","31,39",0
24327284,4,"18,08","108,5",0
24327296,2,"70,83","283,33",0
24327362,3,"16,67",200,0
24327412,3,"37,5","112,5",0
24327430,2,"74,17",178,0
24327462,3,"33,33",200,0
24327557,6,"129,17","258,33",0
24327564,1,"145,83",250,0
24327623,1,"254,17","338,89",0
24327626,1,"135,83",163,0
24327651,1,"224,17","224,17",0
24327700,3,"47,5",114,0
24327770,1,"108,33","216,67",0
24328193,3,35,"46,67",0
24328200,4,"20,83",125,0
24328337,1,"70,42","140,83",0
24328455,1,"134,17","123,85",0
24328478,2,"71,42","171,4",0
24328555,1,"107,08","160,63",0
24328574,3,"41,67",125,0
24328687,1,"187,5",375,0
24328710,1,"133,33",200,0
24328811,3,"16,67",200,0
24329323,4,"12,5",75,0
24329529,3,"33,33","133,33",0
24329621,3,"37,5",225,0
24329718,3,"20,83",250,0
24329741,4,"8,33",100,0
24329803,6,"28,33","113,33",0
24329813,2,"63,08","151,4",0
24329889,6,"88,33",212,0
24330134,4,"29,17","116,67",0
24330249,4,25,50,0
24330351,6,"180,58","166,69",0
24330376,2,"66,67","266,67",0
24330876,4,"16,67",200,0
24330906,3,"47,5",190,0
24330923,3,"33,33",100,0
24331104,6,"62,5",375,0
24331126,3,"33,92","203,5",0
24331171,1,175,"233,33",0
24331296,3,"53,33",160,0
24331331,1,"79,75","159,5",0
24331391,2,"29,17",350,0
24331405,1,"109,17","163,75",0
24331568,3,"40,83","122,5",0
24331683,5,"8,33",100,0
24331823,1,"73,33","41,9",0
24331829,5,"7,5",90,0
24331847,4,"16,67",200,0
24331916,6,"1,67",20,0
24332085,6,"8,33",50,0
24332212,1,150,180,0
24332268,4,"17,5",210,0
24332535,6,"79,17","316,67",0
24332582,2,"66,67","266,67",0
24332605,1,"183,92","315,29",0
24332678,4,"31,67","126,67",0
24332846,1,165,"282,86",0
24332877,5,"4,17",50,0
24332884,4,"16,67",200,0
24332974,3,25,300,0
24332979,4,"63,33","108,57",0
24333035,2,"79,17","237,5",0
24333066,4,"31,67",95,0
24333170,1,"83,33",100,0
24333270,3,"36,67","73,33",0
24333319,1,"151,42","259,57",0
24333516,2,100,400,0
24333586,4,"15,83",95,0
24333632,3,"37,5","112,5",0
24333789,4,"17,5",70,0
24333804,3,20,120,0
24333815,2,"33,33",400,0
24333846,4,"20,83",125,0
24334024,2,"63,08","189,25",0
24334025,1,"162,5","177,27",0
24334047,2,"85,83","343,33",0
24334110,2,"62,5",150,0
24334130,5,"8,33",100,0
24334352,1,"170,83","292,86",0
24334378,2,"62,92",151,0
24334391,2,"67,08","402,5",0
24334598,5,5,60,0
24334687,1,"88,33","176,67",0
24334715,2,"83,33",200,0
24334716,1,"84,17","59,41",0
24334723,3,"38,92","233,5",0
24334736,3,"37,5",90,0
24334788,1,"158,33","211,11",0
24334841,6,"310,58","414,11",0
24334870,2,"91,67",220,0
24334953,2,"120,83","483,33",0
24335054,1,"133,33",160,0
24335118,3,"45,83","42,31",0
24335295,4,"12,5",150,0
24335304,5,"4,17",50,0
24335432,1,"104,17","113,64",0
24335442,6,"91,67","366,67",0
24335485,5,5,60,0
24335929,1,"188,08","376,17",0
24335959,2,"83,33",200,0
24336053,1,"145,83",250,0
24336120,6,"79,17",190,0
24336144,1,100,200,0
24336604,4,"61,67","92,5",0
24336637,6,"158,92","635,67",0
24336645,5,"12,5",75,0
24336703,3,"45,83","183,33",0
24336794,3,"33,33",200,0
24336931,4,"10,83","43,33",0
24337314,2,"167,25",669,0
24337345,4,"14,17","28,33",0
24337661,4,"30,83","92,5",0
24337693,1,"201,25","268,33",0
24337713,5,"4,17",50,0
24337730,3,"37,5",150,0
24337912,3,45,108,0
24338090,1,"66,67","133,33",0
24338109,3,"45,83","183,33",0
24338303,1,"116,67",200,0
24338355,1,"116,67",200,0
24338381,4,"23,33",40,0
24338530,4,"26,67","106,67",0
24338533,6,25,150,0
24338537,5,5,60,0
24338620,5,"6,67",40,0
24338665,4,"17,92","107,5",0
24338903,4,"20,83",250,0
24338908,4,"17,25",69,0
24338985,3,"41,67",100,0
24339184,2,"72,25","173,4",0
24339282,5,10,120,0
24339287,1,250,300,0
24339496,4,30,60,0
24339564,6,"121,42","182,13",0
24339609,3,50,150,0
24339734,1,"117,25","234,5",0
24339809,2,"117,08","351,25",0
24339855,1,"133,33",160,0
24339906,4,"12,5",150,0
24340191,4,"17,25",207,0
24340254,3,"29,17",175,0
24340323,3,"65,83","87,78",0
24340415,2,"87,5",210,0
24340532,1,175,350,0
24340694,5,"8,33","33,33",0
24340699,3,"65,83","98,75",0
24340738,4,"12,5",150,0
24340925,5,"5,83",35,0
24341006,4,"13,33","53,33",0
24341213,5,"5,83",35,0
24341342,5,"6,67",40,0
24341399,3,25,150,0
24341571,4,10,60,0
24341640,4,"16,67",200,0
24341754,2,"112,5",270,0
24341772,1,"162,5","216,67",0
24341801,5,"13,33",40,0
24341924,5,"4,17",25,0
24341999,5,"3,33",40,0
24342027,1,"216,67",200,0
24342090,4,10,120,0
24342470,4,"22,5","67,5",0
24342763,3,50,300,0
24342901,4,"30,58","183,5",0
24343037,4,"3,33",40,0
24343146,3,"51,67",124,0
24343160,4,"16,67",100,0
24343333,4,"12,5",150,0
24343466,3,"33,92","135,67",0
24343528,1,"100,58","201,17",0
24343698,4,25,300,0
24343756,4,"12,5",50,0
24343844,3,"33,33",200,0
24343860,2,"66,67",200,0
24343954,2,"100,42","301,25",0
24343968,6,"72,5",174,0
24344358,4,"14,17","56,67",0
24344444,5,"6,67",40,0
24344460,3,"41,67",125,0
24344549,4,10,120,0
24344550,3,"56,67",136,0
24344763,4,"4,17",50,0
24344781,3,"68,92","103,38",0
24344824,3,"54,17","162,5",0
24344918,5,"8,33",100,0
24345041,5,"4,17",25,0
24345187,2,"73,08","219,25",0
24345436,5,"2,5",30,0
24345526,5,"3,33",20,0
24345568,5,10,30,0
24345606,5,"4,17",50,0
24345618,1,126,252,0
24345719,3,"33,33",200,0
24345744,6,"41,67",500,0
24345745,2,"41,67",250,0
24345780,2,"62,5","187,5",0
24345784,3,50,100,0
24345908,1,"64,17",110,0
24346079,2,"100,58","301,75",0
24346134,1,"100,58","201,17",0
24346292,2,50,200,0
24346615,2,"87,5",210,0
24346731,6,"16,67",100,0
24346741,6,"101,67","174,29",0
24346786,2,"62,5","187,5",0
24346963,2,"83,92","201,4",0
24347064,3,"12,5",150,0
24347103,4,15,60,0
24347327,2,"62,92","188,75",0
24347528,1,"109,17","93,57",0
24347579,6,20,240,0
24347689,2,"33,33",400,0
24347706,3,"34,58","138,33",0
24347774,4,25,100,0
24347818,4,"23,33",70,0
24347926,5,"8,33",100,0
24347950,1,"200,58","300,88",0
24348157,2,"79,75","239,25",0
24348178,5,"6,67",80,0
24348275,4,"8,33",100,0
24348396,4,10,60,0
24348540,4,25,300,0
24349034,5,"4,17",50,0
24349045,5,"2,5",30,0
24349063,5,"2,5",30,0
24349473,3,40,120,0
24349934,1,"167,5","182,73",0
24349985,4,25,150,0
24349997,3,40,80,0
24350055,3,"23,33",140,0
24350102,2,"71,42","214,25",0
24350125,1,"108,92","217,83",0
24350323,4,"39,17","42,73",0
24350409,1,"141,42","154,27",0
24350827,2,"77,5",186,0
24350963,1,"284,33","568,67",0
24351080,5,"14,17","56,67",0
24351101,1,150,200,0
24351118,3,"33,33","133,33",0
24351134,3,"38,33","76,67",0
24351339,3,"51,42","154,25",0
24351511,2,"112,5","337,5",0
24351734,1,"56,67","113,33",0
24351953,1,"200,42","200,42",0
24352096,3,"59,17",71,0
24352554,4,40,60,0
24352736,1,"170,83","227,78",0
24352805,2,"78,33",188,0
24352837,4,"16,67",100,0
24352852,5,"8,33",100,0
24352874,4,"21,67","86,67",0
24352936,1,"59,17","78,89",0
24352998,4,"13,92","83,5",0
24353060,6,"16,67",100,0
24353164,4,"16,67",100,0
24353297,5,"2,5",30,0
24353349,2,75,300,0
24353677,3,"16,67",200,0
24353766,4,"16,67",200,0
24353797,4,"29,17","116,67",0
24353870,3,"41,67",100,0
24353898,1,"95,83","191,67",0
24353970,3,"25,42","152,5",0
